group,sex,age_range,activity,diet_type,cereals_g,pulses_g,green_leafy_g,other_veg_g,roots_tubers_g,fruits_g,milk_g,ghee_oil_g,meat_fish_g,egg_g,sugar_jaggery_g,nuts_g,age_min,age_max
Adult,Male,19-60,Sedentary,Vegetarian,400,70,100,75,75.0,30,200,35,0,0.0,30,0,19,60
Adult,Male,19-60,Sedentary,Non-Vegetarian,400,55,100,75,75.0,30,100,40,30,30.0,30,0,19,60
Adult,Male,19-60,Moderate,Vegetarian,475,80,125,75,100.0,30,200,40,0,0.0,40,0,19,60
Adult,Male,19-60,Moderate,Non-Vegetarian,475,65,125,75,100.0,30,100,40,30,30.0,40,0,19,60
Adult,Male,19-60,Heavy,Vegetarian,650,80,125,100,100.0,30,200,50,0,0.0,55,50,19,60
Adult,Male,19-60,Heavy,Non-Vegetarian,650,65,125,100,100.0,30,100,50,30,30.0,55,50,19,60
Adult,Female,19-60,Sedentary,Vegetarian,300,60,125,75,50.0,50,200,35,0,0.0,30,0,19,60
Adult,Female,19-60,Sedentary,Non-Vegetarian,300,45,125,75,50.0,50,100,30,30,30.0,30,0,19,60
Adult,Female,19-60,Moderate,Vegetarian,350,70,125,75,75.0,75,200,40,0,0.0,30,0,19,60
Adult,Female,19-60,Moderate,Non-Vegetarian,350,55,125,75,75.0,75,100,35,30,30.0,30,0,19,60
Adult,Female,19-60,Heavy,Vegetarian,475,70,125,75,100.0,100,200,45,0,0.0,40,40,19,60
Adult,Female,19-60,Heavy,Non-Vegetarian,475,55,125,75,100.0,100,100,40,30,30.0,40,40,19,60
Pregnant,Female,19-45,Moderate,Vegetarian,50,0,25,0,0.0,0,125,0,0,0.0,10,0,19,45
Lactating,Female,19-45,Moderate,Vegetarian,100,10,25,0,0.0,0,125,15,0,0.0,20,0,19,45
Child,Any,1-3,NA,Vegetarian,150,50,50,30,0.0,50,300,20,0,0.0,30,0,1,3
Child,Any,1-3,NA,Non-Vegetarian,150,40,50,30,0.0,50,200,20,30,0.0,30,0,1,3
Child,Any,4-6,NA,Vegetarian,200,60,75,50,0.0,50,250,25,0,0.0,40,0,4,6
Child,Any,4-6,NA,Non-Vegetarian,200,50,75,50,0.0,50,200,25,30,0.0,40,0,4,6
Child,Any,7-9,NA,Vegetarian,250,70,75,50,0.0,50,250,30,0,0.0,50,0,7,9
Child,Any,7-9,NA,Non-Vegetarian,250,60,75,50,0.0,50,200,30,30,0.0,50,0,7,9
Child,Any,10-12,NA,Vegetarian,320,70,100,75,0.0,50,250,35,0,0.0,50,0,10,12
Child,Any,10-12,NA,Non-Vegetarian,320,60,100,75,0.0,50,200,35,30,0.0,50,0,10,12
Adolescent,Male,13-15,Moderate,Vegetarian,430,70,100,75,0.0,30,250,35,0,0.0,30,0,13,15
Adolescent,Male,13-15,Moderate,Non-Vegetarian,430,50,100,75,0.0,30,150,40,30,30.0,30,0,13,15
Adolescent,Male,16-18,Moderate,Vegetarian,450,70,100,75,0.0,30,250,45,0,0.0,40,50,16,18
Adolescent,Male,16-18,Moderate,Non-Vegetarian,450,50,100,75,0.0,30,150,50,30,30.0,40,50,16,18
Adolescent,Female,13-18,Moderate,Vegetarian,350,70,150,75,0.0,30,250,35,0,0.0,30,0,13,18
Adolescent,Female,13-18,Moderate,Non-Vegetarian,350,50,150,75,0.0,30,150,40,30,30.0,30,0,13,18
