user_id,age,sex,weight_kg,height_cm,bmi,activity_level,bmr_kcal,tdee_kcal,diet_type,region,health_condition,food_allergy,vegetable_preference,budget_tier
USR0001,8,Male,61.6,159.0,24.4,Moderate,1575,2441,Vegetarian,Mountain,None,Fish,Likes all,1
USR0002,32,Male,63.5,175.8,20.5,Moderate,1579,2447,Vegan,Hills,None,Gluten,No bitter,1
USR0003,59,Male,58.9,168.9,20.6,Moderate,1355,2100,Vegetarian,Terai,Anaemia,None,No bitter,2
USR0004,10,Female,52.6,145.4,24.9,Heavy,1224,2111,Vegetarian,Mountain,Diabetes,Nuts,Prefers cooked,1
USR0005,34,Male,66.2,142.0,32.8,Moderate,1384,2145,Vegetarian,Hills,Diabetes,Gluten,No bitter,1
USR0006,50,Female,55.8,159.3,22.0,Sedentary,1143,1372,Vegan,Terai,Underweight,None,Prefers cooked,2
USR0007,39,Female,66.8,153.3,28.4,Moderate,1270,1968,Non-Vegetarian,Terai,None,None,No bitter,2
USR0008,13,Female,59.2,170.2,20.4,Moderate,1430,2216,Non-Vegetarian,Hills,Anaemia,Gluten,Prefers cooked,2
USR0009,36,Male,61.6,155.0,25.6,Heavy,1410,2432,Vegan,Hills,Hypertension,None,Prefers cooked,3
USR0010,16,Female,54.6,140.1,27.8,Moderate,1181,1831,Non-Vegetarian,Hills,Lactose Intolerance,None,No leafy,2
USR0011,72,Female,53.9,162.9,20.3,Sedentary,1036,1243,Vegetarian,Mountain,Diabetes,Nuts,Likes all,2
USR0012,25,Female,32.6,159.0,12.9,Moderate,1034,1603,Vegan,Terai,Underweight,None,No bitter,3
USR0013,24,Male,57.8,168.4,20.4,Sedentary,1516,1819,Vegan,Hills,Obesity,None,Likes all,2
USR0014,35,Female,71.3,159.1,28.2,Sedentary,1371,1645,Vegetarian,Hills,None,None,Prefers cooked,2
USR0015,38,Male,48.5,163.1,18.2,Moderate,1319,2044,Vegan,Terai,Diabetes,Fish,No bitter,2
USR0016,20,Female,54.0,156.5,22.0,Sedentary,1257,1508,Vegan,Mountain,None,None,Likes all,1
USR0017,34,Male,64.3,165.8,23.4,Moderate,1514,2347,Vegetarian,Mountain,None,Milk,No leafy,1
USR0018,65,Male,62.5,174.0,20.6,Heavy,1392,2401,Non-Vegetarian,Terai,None,Fish,No bitter,2
USR0019,64,Female,56.0,152.2,24.2,Sedentary,1030,1236,Vegetarian,Hills,Hypertension,None,Prefers cooked,1
USR0020,73,Male,52.1,167.7,18.5,Moderate,1209,1874,Non-Vegetarian,Terai,None,Gluten,Likes all,1
USR0021,16,Male,79.4,158.1,31.8,Moderate,1707,2646,Non-Vegetarian,Hills,Obesity,None,No leafy,1
USR0022,53,Male,71.9,165.1,26.4,Heavy,1491,2572,Non-Vegetarian,Hills,Underweight,Gluten,Prefers cooked,1
